video_id,captured_at,views,likes,comments,shares,saves,engagement_rate
tt_vid_001,2026-04-07T20:00:00+07:00,214000,18900,540,2800,4100,0.1226
tt_vid_001,2026-04-08T20:00:00+07:00,438000,39200,1090,6100,8600,0.1253
tt_vid_001,2026-04-09T20:00:00+07:00,842000,75600,2140,11300,18400,0.1276
tt_vid_002,2026-04-08T22:30:00+07:00,131000,12400,490,1800,2600,0.1320
tt_vid_002,2026-04-09T22:30:00+07:00,312000,29100,1120,5100,7600,0.1372
tt_vid_002,2026-04-10T10:00:00+07:00,516000,48200,1980,8600,12100,0.1374
tt_vid_003,2026-04-09T07:00:00+07:00,118000,9700,320,1100,2100,0.1120
tt_vid_003,2026-04-09T18:00:00+07:00,267000,21800,760,3200,5200,0.1159
tt_vid_003,2026-04-10T10:00:00+07:00,463000,38100,1260,5700,9800,0.1185
tt_vid_004,2026-04-09T23:00:00+07:00,98000,8300,260,900,1600,0.1129
tt_vid_004,2026-04-10T06:00:00+07:00,221000,18300,650,1900,4200,0.1138
tt_vid_004,2026-04-10T10:00:00+07:00,341000,28400,980,3200,6900,0.1152
tt_vid_005,2026-04-09T18:00:00+07:00,72000,5400,180,620,1100,0.1014
tt_vid_005,2026-04-10T02:00:00+07:00,161000,12100,410,1320,2500,0.1014
tt_vid_005,2026-04-10T10:00:00+07:00,254000,19100,660,2100,4300,0.1022
tt_vid_006,2026-04-09T15:00:00+07:00,61000,4900,160,570,840,0.1054
tt_vid_006,2026-04-10T00:00:00+07:00,147000,11800,450,1660,2290,0.1102
tt_vid_006,2026-04-10T10:00:00+07:00,228000,18400,710,2600,3900,0.1123
