source_type,source_value,video_id,author_id,author_username,caption,hashtags,views,likes,comments,shares,created_at,engagement_rate,velocity,virality,trend_score,video_url,cover_url,sound_title
keyword,{{keyword}},735190440001,71020011,creatorlab.vn,"3 AI editing tricks I use every day to finish short-form videos faster #aivideo #capcutai #contentcreator",aivideo|capcutai|contentcreator,842000,75600,2140,11300,2026-04-09T20:10:00+07:00,0.1069,60142.86,0.0134,30071.47,https://www.tiktok.com/@creatorlab.vn/video/735190440001,https://p16-sign.tiktokcdn.com/mock-cover-1.jpeg,Original sound - creatorlab.vn
hashtag,{{hashtag}},735190440002,71020012,shorts_hacker,"This faceless Shorts workflow uses only prompts, auto captions, and one AI editor #facelessvideo #aivideo #shortsai",facelessvideo|aivideo|shortsai,516000,48200,1980,8600,2026-04-09T22:30:00+07:00,0.1139,64500.0,0.0167,32250.03,https://www.tiktok.com/@shorts_hacker/video/735190440002,https://p16-sign.tiktokcdn.com/mock-cover-2.jpeg,Tech Groove Beat
keyword,youtube shorts ai,735190440003,71020013,automation_daily,"How I turn one trending topic into 5 Shorts with AI research, scripts, B-roll, and captions #youtubeshorts #aitools #automation",youtubeshorts|aitools|automation,279000,22400,740,4100,2026-04-10T07:50:00+07:00,0.0973,62000.0,0.0147,31000.03,https://www.tiktok.com/@automation_daily/video/735190440003,https://p16-sign.tiktokcdn.com/mock-cover-3.jpeg,Original sound - automation_daily
keyword,ai subtitle generator,735190440004,71020014,captioncraft,"This auto subtitle style is why my retention jumped on every short-form clip #subtitles #aieditor #retention",subtitles|aieditor|retention,463000,38100,1260,5700,2026-04-10T06:40:00+07:00,0.0973,57875.0,0.0123,28937.53,https://www.tiktok.com/@captioncraft/video/735190440004,https://p16-sign.tiktokcdn.com/mock-cover-4.jpeg,Original sound - captioncraft
keyword,faceless video ai,735190440005,71020015,facelesslab,"Faceless channel stack for creators who want to post daily without filming themselves #facelessvideo #aitools #contentsystem",facelessvideo|aitools|contentsystem,731000,64800,1750,9400,2026-04-09T18:55:00+07:00,0.1039,45687.5,0.0129,22843.78,https://www.tiktok.com/@facelesslab/video/735190440005,https://p16-sign.tiktokcdn.com/mock-cover-5.jpeg,Original sound - facelesslab
hashtag,{{hashtag}},735190440006,71020016,promptpilot,"I asked AI to generate 10 hooks for one topic and this one won by far #aishorts #hookgenerator #creatorhacks",aishorts|hookgenerator|creatorhacks,388000,31500,1190,4300,2026-04-10T08:10:00+07:00,0.0953,77600.0,0.0111,38800.02,https://www.tiktok.com/@promptpilot/video/735190440006,https://p16-sign.tiktokcdn.com/mock-cover-6.jpeg,Prompt Pulse
keyword,chatgpt script prompt,735190440007,71020017,scriptloop,"The script prompt I use for 30-second story videos is insanely simple #chatgptprompt #scriptwriting #shortform",chatgptprompt|scriptwriting|shortform,341000,28400,980,3200,2026-04-10T05:50:00+07:00,0.0955,48714.29,0.0094,24357.17,https://www.tiktok.com/@scriptloop/video/735190440007,https://p16-sign.tiktokcdn.com/mock-cover-7.jpeg,Original sound - scriptloop
keyword,instagram reels ai,735190440008,71020018,reelslab,"Instagram Reels AI workflow from idea to finished edit in 15 minutes #reelsai #socialmedia #creatorworkflow",reelsai|socialmedia|creatorworkflow,295000,24600,820,2700,2026-04-10T04:45:00+07:00,0.0953,36875.0,0.0092,18437.53,https://www.tiktok.com/@reelslab/video/735190440008,https://p16-sign.tiktokcdn.com/mock-cover-8.jpeg,Original sound - reelslab
keyword,canva ai video,735190440009,71020019,designhacker,"Canva AI video plus one subtitle plugin is enough for most beginners #canvaai #videodesign #contenttips",canvaai|videodesign|contenttips,254000,19100,660,2100,2026-04-09T23:40:00+07:00,0.0857,25400.0,0.0083,12700.03,https://www.tiktok.com/@designhacker/video/735190440009,https://p16-sign.tiktokcdn.com/mock-cover-9.jpeg,Original sound - designhacker
keyword,tiktok ai voice,735190440010,71020020,voicehack,"Best AI voice settings for story clips that still feel human #aivoice #storytelling #tiktoktips",aivoice|storytelling|tiktoktips,228000,18400,710,2600,2026-04-09T21:15:00+07:00,0.0952,25333.33,0.0114,12666.7,https://www.tiktok.com/@voicehack/video/735190440010,https://p16-sign.tiktokcdn.com/mock-cover-10.jpeg,Original sound - voicehack
