video_id,captured_at,views,likes,comments,impressions,click_through_rate,average_view_duration_seconds,watch_hours,engagement_rate
yt_vid_001,2026-04-04T00:00:00+07:00,188000,8700,620,1380000,0.064,329.0,17182.0,0.0496
yt_vid_001,2026-04-07T00:00:00+07:00,411000,18900,1480,2910000,0.066,337.0,38475.0,0.0496
yt_vid_001,2026-04-10T00:00:00+07:00,612000,28100,2140,4200000,0.067,341.0,57970.0,0.0494
yt_vid_002,2026-04-06T00:00:00+07:00,129000,5900,360,1130000,0.068,286.0,10249.0,0.0485
yt_vid_002,2026-04-08T00:00:00+07:00,281000,13200,810,2260000,0.070,293.0,22871.0,0.0499
yt_vid_002,2026-04-10T00:00:00+07:00,438000,20600,1310,3560000,0.071,298.0,36263.0,0.0500
yt_vid_003,2026-04-08T00:00:00+07:00,98000,4700,290,990000,0.059,362.0,9858.0,0.0509
yt_vid_003,2026-04-09T00:00:00+07:00,231000,11000,710,2010000,0.061,370.0,23742.0,0.0507
yt_vid_003,2026-04-10T00:00:00+07:00,392000,18800,1190,3320000,0.063,377.0,41053.0,0.0510
yt_vid_004,2026-04-09T00:00:00+07:00,74000,3900,240,860000,0.056,309.0,6352.0,0.0559
yt_vid_004,2026-04-10T00:00:00+07:00,287000,15300,980,2740000,0.059,322.0,25670.0,0.0564
yt_vid_005,2026-04-10T00:00:00+07:00,214000,10900,610,1980000,0.058,279.0,16592.0,0.0534
yt_vid_006,2026-04-10T12:00:00+07:00,126000,6500,340,1220000,0.055,261.0,9135.0,0.0543
